Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-10-13,20018100,8384300,2664600,2207000,64240000,73255500,838700,7586400,50767600,60377800
2020-10-14,19323100,9076600,2368800,2447200,36949100,57727900,644900,8697600,54488000,48982200
2020-10-15,18523900,6815400,3019600,1578500,42514200,60357700,596200,4654400,40707800,41637200
2020-10-16,13548800,7260700,2768000,2915300,40570700,89501900,697900,3188000,37423000,40103600
2020-10-19,15292600,6084400,2973400,2597800,36756800,68425600,657300,4293600,50372000,42989000
2020-10-20,15671900,7121400,2816200,2370400,32195400,60051900,624300,6565600,45980600,67293900
2020-10-21,18089400,7548100,3689200,1118500,29306100,63575000,608900,2576000,49315200,44307200
2020-10-22,19750700,8377000,2460100,2396700,32196200,55399300,883500,3617600,65648400,39511800
2020-10-23,14497700,5919300,1796600,10495200,24658500,49143900,605200,2091200,49975400,45092700
2020-10-26,17881900,5105100,4327200,2226700,38421100,91473000,1283900,4809600,60802000,54015100
2020-10-27,14636800,5826900,4227600,1924200,30559100,65994100,733500,3296800,43193600,46083300
2020-10-28,38818900,11734100,7096200,2405700,53413500,127094300,1978400,6426400,81098200,89288300
2020-10-29,22332000,8474500,5163500,2036400,43246300,90597700,1045800,5878400,74504200,60908400
2020-10-30,27645700,7303000,6632500,2442100,65838300,120287300,1111400,6740000,75799400,66221600
2020-11-02,27180400,6498400,4658500,2245100,39987400,86068300,1746600,4953600,83786200,65136000
2020-11-03,20418900,7577200,6559400,9300900,43604100,93294200,915300,7177600,69755000,79834200
2020-11-04,24981300,11117300,6499100,3882500,75728200,126959700,1016000,7357600,87227400,87397400
2020-11-05,51803600,16102800,6900500,3897800,52054200,82039700,659600,7440000,63591600,65942300
2020-11-06,21921500,10378300,2871800,1884400,40959800,74973000,639700,3914400,66446400,60783500
2020-11-09,43551200,29800700,9109200,14231100,86537100,172304200,2377100,7241600,198713400,162966800
2020-11-10,33309900,11728500,5174100,4210600,69024900,85552000,1712300,10052800,146676200,85851200
2020-11-11,22360800,9008500,2485800,4407000,36102900,58649000,1146400,5468000,93085000,65062400
2020-11-12,21186100,7167900,3787800,5521500,34414600,67546200,909800,2980000,77169600,62733800
2020-11-13,19264300,6469800,2685300,1842200,24806900,62892200,911200,2504800,78865400,45031800
2020-11-16,17150200,8358500,3332400,3196400,30168400,74541100,1683700,4412000,95865400,67556100
2020-11-17,20716700,8229100,2656600,3051400,21843500,66111000,1258100,2993600,78020200,63679700
2020-11-18,26893300,7384700,3179100,8568600,28069600,70591300,1490000,2917600,82000400,71578400
2020-11-19,25927700,6965100,3321600,2732000,22718400,59940900,1806200,2460000,65872400,47194800
2020-11-20,25251000,6379400,2697500,1760200,25907300,70417300,757300,2560800,39506400,39974700
2020-11-23,33864200,15510600,2728500,1553100,26875600,63230600,2041100,3307200,76324600,51870500
2020-11-24,41128100,19504000,3756800,5059800,24516800,62415900,1899500,3805600,106932000,60983200
2020-11-25,31203600,10286600,3826500,2242500,23326800,45330900,1286600,2536800,71352400,45204600
2020-11-27,11745600,10569100,1354600,2098500,17163100,28514100,611900,1743200,37510800,26981200
2020-11-30,24406700,13210000,4093400,3610500,27836200,83872700,1243500,3122400,83087200,72524200
2020-12-01,31692100,13533300,3708500,2193000,27521300,74231400,1191000,5749600,68935600,53972100
